# TIME                TIMECORR       CADENCENO   SAP_FLUX     SAP_FLUX_ERR   SAP_BKG     SAP_BKG_ERR   PDCSAP_FLUX   PDCSAP_FLUX_ERR   SAP_QUALITY   PSF_CENTR1   PSF_CENTR1_ERR   PSF_CENTR2   PSF_CENTR2_ERR   MOM_CENTR1           MOM_CENTR1_ERR   MOM_CENTR2           MOM_CENTR2_ERR   POS_CORR1      POS_CORR2    
  539.4502657201374   0.0029379001   21069       ""           ""             ""          ""            ""            ""                16392         ""           ""               ""           ""               ""                   ""               ""                   ""               ""             ""           
  541.2280294592056   0.0029780392   21156       11796.505    6.0230255      2014.6084   1.0609635     12021.791     6.1783533         0             ""           ""               ""           ""               1032.2600627557365   0.0010118142     294.85946559516555   8.9824846E-4     0.0031096365   0.109578334  
  541.2484635099681   0.00297849     21157       11811.508    6.022962       2016.0234   1.0609643     12038.815     6.178118          0             ""           ""               ""           ""               1032.2578807371003   0.0010110753     294.85574597906424   8.9736126E-4     0.0032419898   0.10947864   
  541.2688975604979   0.0029789405   21158       11800.08     6.0228987      2017.0105   1.0609652     12025.707     6.178132          0             ""           ""               ""           ""               1032.2579524243488   0.0010115022     294.8582334013673    8.9793693E-4     0.00313282     0.10943045   
  541.2893316110203   0.002979391    21159       11795.33     6.022835       2015.4626   1.0609659     12022.067     6.1785426         0             ""           ""               ""           ""               1032.256953697783    0.0010124021     294.8583912415022    8.9877896E-4     0.0031638497   0.109313734  
  541.3097657610851   0.002979841    21160       11800.557    6.0227714      2015.1746   1.0609667     12025.872     6.1785665         0             ""           ""               ""           ""               1032.2573141040407   0.0010113594     294.85834292814485   8.978383E-4      0.0031399021   0.10929328   
  541.3301997109083   0.002980291    21161       11793.512    6.0227075      2013.1802   1.0609674     12019.463     6.179129          0             ""           ""               ""           ""               1032.2591857078755   0.0010124368     294.8592580379582    8.988111E-4      0.0032055972   0.1091985    
  541.3506338602747   0.0029807403   21162       11795.571    6.022644       2015.6808   1.0609683     12021.296     6.178483          0             ""           ""               ""           ""               1032.25914437813     0.001011109      294.85808779157304   8.975391E-4      0.0030818898   0.10918253   
  541.3710679096403   0.0029811896   21163       11803.7295   6.0225806      2013.2836   1.060969      12029.279     6.1788135         0             ""           ""               ""           ""               1032.2598498624734   0.001012523      294.85823024683845   8.987837E-4      0.0032150403   0.10907404   
  541.3915018587722   0.0029816388   21164       11799.044    6.022517       2012.4596   1.0609698     12025.222     6.179472          0             ""           ""               ""           ""               1032.2606620811098   0.0010119092     294.8579676396607    8.981923E-4      0.0031564517   0.10905157   
  541.4119360076656   0.0029820877   21165       11802.028    6.0224533      2015.1194   1.0609707     12027.006     6.178946          0             ""           ""               ""           ""               1032.2575145080239   0.0010117298     294.8588493834875    8.982014E-4      0.0031991631   0.10893504   
  541.4323700563327   0.0029825363   21166       11803.861    6.0224257      2015.9685   1.0609694     12030.405     6.178042          0             ""           ""               ""           ""               1032.2577297977068   0.0010114704     294.8559536030871    8.9773256E-4     0.0031487267   0.10895133   
  541.452804004759    0.0029829848   21167       11799.999    6.022398       2011.5518   1.060968      12024.86      6.1786704         8192          ""           ""               ""           ""               1032.261279946828    0.0010124313     294.8573664489037    8.985882E-4      0.0032087911   0.10880873   
  541.4732381527283   0.0029834327   21168       11798.146    6.0223703      2015.5348   1.0609667     12024.232     6.1784925         8192          ""           ""               ""           ""               1032.2578357515172   0.0010123409     294.85960039145255   8.9879555E-4     0.003140685    0.108777545  
  541.4936722006969   0.0029838807   21169       11790.109    6.022342       2009.8512   1.0609654     12014.772     6.178822          0             ""           ""               ""           ""               1032.254447756333    0.0010125218     294.8572271202411    8.9886703E-4     0.003200386    0.10866607   
  541.5141061484319   0.0029843284   21170       11789.361    6.0223145      2011.677    1.0609641     12014.818     6.1791434         0             ""           ""               ""           ""               1032.2573519981688   0.0010131951     294.85895144454344   8.995166E-4      0.0031613435   0.10873159   
  541.5345402956955   0.0029847757   21171       11783.362    6.022287       2013.1141   1.0609628     12008.161     6.1798797         0             ""           ""               ""           ""               1032.2579248188367   0.0010124895     294.8579931365036    8.987956E-4      0.0031722945   0.10863035   
  541.5549743429656   0.002985223    21172       11791.687    6.022259       2011.631    1.0609615     12015.956     6.1793885         0             ""           ""               ""           ""               1032.259662178522    0.0010130283     294.85769239894495   8.9919614E-4     0.0031481003   0.10852785   
  541.5754083897627   0.0029856698   21173       11793.573    6.0222316      2009.7866   1.06096       12018.937     6.1787233         0             ""           ""               ""           ""               1032.2568333751296   0.0010133039     294.8581415527185    8.995641E-4      0.0031404519   0.1085143    
  541.5958424365672   0.0029861166   21174       11794.052    6.0222034      2009.5874   1.0609587     12017.946     6.1795783         0             ""           ""               ""           ""               1032.2591648754033   0.0010123004     294.85692678841656   8.985044E-4      0.003156034    0.10840214   
  541.616276482906    0.002986563    21175       11794.954    6.022176       2015.1107   1.0609574     12020.679     6.1790967         0             ""           ""               ""           ""               1032.259343814471    0.0010127518     294.85686435582943   8.988948E-4      0.0031497178   0.10851227   
  541.6367105292375   0.0029870092   21176       11791.311    6.022148       2012.556    1.0609561     12015.208     6.17946           0             ""           ""               ""           ""               1032.2587469191967   0.0010126822     294.8578042766993    8.9892716E-4     0.0031745438   0.10829207   
  541.6571445751106   0.002987455    21177       11796.427    6.0221205      2010.7578   1.0609548     12021.899     6.1791644         0             ""           ""               ""           ""               1032.2565573277186   0.0010114582     294.8573800413275    8.978736E-4      0.0032005939   0.10843786   
  541.6775786207509   0.0029879007   21178       11785.02     6.022093       2012.3132   1.0609535     12009.215     6.1797853         0             ""           ""               ""           ""               1032.2602722983806   0.001013684      294.85933993317474   8.998936E-4      0.0030643158   0.10826882   
  541.6980127661518   0.0029883462   21179       11783.647    6.022065       2010.5463   1.0609522     12007.972     6.1796284         0             ""           ""               ""           ""               1032.2601572222347   0.0010138021     294.85787900667566   8.9988403E-4     0.0031730738   0.108236864  
  541.7184467115585   0.0029887916   21180       11789.311    6.0220375      2011.3018   1.0609509     12014.043     6.179716          0             ""           ""               ""           ""               1032.257393025071    0.0010136461     294.85722922827745   8.9977897E-4     0.0031194435   0.10820991   
  541.7388807565003   0.0029892365   21181       11803.313    6.0220094      2008.5935   1.0609496     12027.63      6.179165          0             ""           ""               ""           ""               1032.2599246485715   0.0010112528     294.85773382972826   8.976172E-4      0.0031773467   0.10808725   
  541.7593149012027   0.0029896812   21182       11779.62     6.0219817      2013.1368   1.0609481     12004.594     6.1797385         0             ""           ""               ""           ""               1032.2588054284683   0.0010139026     294.85697935300243   8.999436E-4      0.0030959998   0.10814464   
